run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
15,57,rf_topk,10,0.935364897883915,0.9367358280844758,0.9982232750962393,0.9665026042911072,0.6608074704229734,0.03315901756286621
15,57,rf_median,23,0.9352265916739662,0.936646135321632,0.9981739216266904,0.9664317285867877,0.6793945776389481,0.1141061782836914
16,58,baseline,46,0.9356876123737956,0.9365946221132041,0.9987661632612773,0.9666817932121617,0.7093102747292483,3.049329996109009
16,58,variance_threshold,43,0.9357337144437785,0.9366379709339998,0.9987661632612773,0.966704882010127,0.7054223334223699,2.813544273376465
16,58,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6271076331823581,0.04032611846923828
16,58,mutual_info,10,0.9358720206537273,0.9366467675505576,0.998914223669924,0.9667789161949798,0.6280011416573054,0.10559487342834473
16,58,rfe,10,0.9341201419943755,0.9341601733597676,0.9999506465304511,0.9659364496674692,0.626142563903418,0.04316592216491699
16,58,rfecv,42,0.9357337144437785,0.9365975564605702,0.9988155167308261,0.9667064724146167,0.7098388472797811,0.2801682949066162
16,58,l1,44,0.9356876123737956,0.9365946221132041,0.9987661632612773,0.9666817932121617,0.7093726486732689,0.2987370491027832
16,58,rf_topk,10,0.9358720206537273,0.9366467675505576,0.998914223669924,0.9667789161949798,0.6818776373799932,0.034594058990478516
16,58,rf_median,23,0.9355954082338297,0.9365079365079365,0.9987661632612773,0.9666356189247928,0.6994360235015075,0.11588287353515625
17,59,baseline,46,0.9349960813240514,0.9365505742867729,0.9980258612180436,0.9663114636593874,0.6962063241653307,2.7587761878967285
17,59,variance_threshold,43,0.9351343875340002,0.9364785406731793,0.9982726285657881,0.966388762810253,0.6941935384047702,2.5102591514587402
17,59,chi2,10,0.9342123461343415,0.9342062796809443,1.0,0.9659841243355343,0.6439855699987269,0.04021883010864258
17,59,mutual_info,10,0.9349960813240514,0.9362677034157179,0.998371335504886,0.966322728575523,0.603558447321198,0.11321711540222168
17,59,rfe,10,0.9341201419943755,0.9342002121086365,0.9999012930609021,0.9659348256215882,0.631685504219428,0.04291415214538574
17,59,rfecv,41,0.9348116730441197,0.9363771068716429,0.9980258612180436,0.9662191217927278,0.6949866130872416,0.25687289237976074
17,59,l1,44,0.9349960813240514,0.9365505742867729,0.9980258612180436,0.9663114636593874,0.6961871906299002,0.2925240993499756
17,59,rf_topk,10,0.9350882854640173,0.9364351851851852,0.9982726285657881,0.9663656777029287,0.6665536613815973,0.03289604187011719
17,59,rf_median,23,0.9349038771840855,0.9364234117429153,0.9980752146875925,0.9662669023842515,0.6829849130346278,0.1178438663482666
18,60,baseline,46,0.9362869392835739,0.9371179848120023,0.9988155167308261,0.9669836112571074,0.7045178421599372,2.9464282989501953
